epoch,step,train_loss,val_loss
0,205,,7.147984504699707
0,205,24.050701141357422,
1,411,,4.99412727355957
1,411,5.774899482727051,
2,617,,4.622548580169678
2,617,4.931668281555176,
3,823,,4.333220481872559
3,823,4.367664337158203,
4,1029,,4.360335350036621
4,1029,4.286149024963379,
5,1235,,4.232629776000977
5,1235,4.312626361846924,
6,1441,,4.3282246589660645
6,1441,4.274057388305664,
7,1647,,4.183409690856934
7,1647,4.207626819610596,
8,1853,,4.1297454833984375
8,1853,4.211825847625732,
9,2059,,4.017831325531006
9,2059,4.160971641540527,
10,2265,,4.036468982696533
10,2265,4.058828830718994,
11,2471,,4.020251750946045
11,2471,4.030959606170654,
12,2677,,3.993313789367676
12,2677,3.9659454822540283,
13,2883,,3.8190455436706543
13,2883,3.912808418273926,
14,3089,,3.987205982208252
14,3089,3.8551700115203857,
15,3295,,3.8767306804656982
15,3295,3.8216209411621094,
16,3501,,3.749911308288574
16,3501,3.7023019790649414,
17,3707,,3.599668264389038
17,3707,3.6584084033966064,
18,3913,,3.502628803253174
18,3913,3.598759174346924,
19,4119,,3.570768117904663
19,4119,3.548604965209961,
20,4325,,3.481710433959961
20,4325,3.5227091312408447,
21,4531,,3.4993014335632324
21,4531,3.4996321201324463,
22,4737,,3.5532336235046387
22,4737,3.4987428188323975,
23,4943,,3.4825127124786377
23,4943,3.424959897994995,
24,5149,,3.320340156555176
24,5149,3.400944232940674,
25,5355,,3.461751937866211
25,5355,3.374913215637207,
26,5561,,3.2837584018707275
26,5561,3.337339401245117,
27,5767,,3.326218605041504
27,5767,3.3244106769561768,
28,5973,,3.466247320175171
28,5973,3.31915545463562,
29,6179,,3.2998342514038086
29,6179,3.3878684043884277,
30,6385,,3.231745719909668
30,6385,3.308821678161621,
31,6591,,3.220810890197754
31,6591,3.185188055038452,
32,6797,,3.211716413497925
32,6797,3.202258348464966,
33,7003,,3.1816694736480713
33,7003,3.1667163372039795,
34,7209,,3.2049002647399902
34,7209,3.1819567680358887,
35,7415,,3.1400203704833984
35,7415,3.148665189743042,
36,7621,,3.32011342048645
36,7621,3.177196741104126,
37,7827,,3.03256893157959
37,7827,3.1293790340423584,
38,8033,,3.1500866413116455
38,8033,3.1645138263702393,
39,8239,,3.181366205215454
39,8239,3.1009063720703125,
40,8445,,3.096433162689209
40,8445,3.0858206748962402,
41,8651,,3.1502957344055176
41,8651,3.1911582946777344,
42,8857,,3.2729876041412354
42,8857,3.1241583824157715,
43,9063,,3.1210203170776367
43,9063,3.132826089859009,
44,9269,,3.044234037399292
44,9269,3.09102201461792,
45,9475,,3.0915658473968506
45,9475,3.0821399688720703,
46,9681,,2.9809048175811768
46,9681,3.1150355339050293,
47,9887,,3.036733865737915
47,9887,3.15665602684021,
48,10093,,3.1596505641937256
48,10093,3.117736577987671,
49,10299,,3.093740224838257
49,10299,3.1606521606445312,
