signal_ratio,seed,nbin,sigma_avg_SR,sigma_avg_bg4b_SR,sigma_avg_CR,sigma_avg_bg4b_CR,initialize_with_fvt,rejected_SR,rejected_bg4b_SR,rejected_CR,rejected_bg4b_CR
0.0,0,10,5.910056,5.910056,2.388172,2.388172,False,True,True,True,True
0.0,0,20,4.342808,4.342808,1.9931505,1.9931505,False,True,True,True,True
0.0,0,30,3.614696,3.614696,1.8442782,1.8442782,False,True,True,False,False
0.0,0,50,2.8776915,2.8776915,1.6915556,1.6915556,False,True,True,False,False
0.0,0,100,2.3340836,2.3340836,1.760882,1.760882,False,True,True,False,False
0.0,0,200,1.9194958,1.9194958,1.4628756,1.4628756,False,False,False,False,False
0.01,0,10,7.6165996,6.2169375,2.7569313,3.173187,False,True,True,True,True
0.01,0,20,5.3343997,4.393432,2.3986075,2.6783435,False,True,True,True,True
0.01,0,30,4.3659716,3.5910752,1.9458452,2.1713326,False,True,True,False,True
0.01,0,50,3.548988,2.993245,1.7830548,1.9319196,False,True,True,False,False
0.01,0,100,2.7543426,2.4035044,1.6003834,1.6855072,False,True,True,False,False
0.01,0,200,2.163456,1.9352664,1.5766768,1.6154892,False,True,False,False,False
0.02,0,10,11.6869335,6.374855,1.487269,1.5898113,False,True,True,False,False
0.02,0,20,8.01181,4.3419056,1.9260375,1.9533076,False,True,True,False,False
0.02,0,30,6.7659545,3.7658913,1.9618751,1.9518833,False,True,True,True,False
0.02,0,50,5.231928,2.9809437,1.6976371,1.68866,False,True,True,False,False
0.02,0,100,4.025401,2.460746,1.5769013,1.5726066,False,True,True,False,False
0.02,0,200,3.0118136,1.9586188,1.4968473,1.4906038,False,True,False,False,False
0.0,1,10,8.012611,8.012611,4.8204894,4.8204894,False,True,True,True,True
0.0,1,20,5.5329614,5.5329614,3.3972623,3.3972623,False,True,True,True,True
0.0,1,30,4.6564693,4.6564693,2.8875597,2.8875597,False,True,True,True,True
0.0,1,50,3.65181,3.65181,2.487961,2.487961,False,True,True,True,True
0.0,1,100,2.758537,2.758537,2.0335207,2.0335207,False,True,True,True,True
0.0,1,200,2.243668,2.243668,1.7453244,1.7453244,False,True,True,False,False
0.01,1,10,7.2774024,5.682223,2.887668,2.2034674,False,True,True,True,True
0.01,1,20,5.110127,4.014741,2.6241739,2.253747,False,True,True,True,True
0.01,1,30,4.22151,3.3688076,2.198732,1.8943895,False,True,True,True,False
0.01,1,50,3.4446168,2.8317592,1.876445,1.6651083,False,True,True,False,False
0.01,1,100,2.685608,2.2939787,1.6228836,1.497229,False,True,True,False,False
0.01,1,200,2.1729887,1.9260972,1.4990543,1.4323118,False,True,False,False,False
0.02,1,10,11.372893,5.204518,1.723387,1.5945143,False,True,True,False,False
0.02,1,20,7.8581915,3.7175405,1.7475207,1.6511557,False,True,True,False,False
0.02,1,30,6.426848,3.111189,1.6416663,1.5786328,False,True,True,False,False
0.02,1,50,5.1159663,2.6694822,1.4071769,1.3617913,False,True,True,False,False
0.02,1,100,3.7743075,2.1359825,1.3573136,1.3344911,False,True,True,False,False
0.02,1,200,2.8743527,1.7869947,1.5316788,1.5188272,False,True,False,False,False
0.0,2,10,6.1736345,6.1736345,1.6170168,1.6170168,False,True,True,False,False
0.0,2,20,4.391065,4.391065,1.4202814,1.4202814,False,True,True,False,False
0.0,2,30,3.6666942,3.6666942,1.5560334,1.5560334,False,True,True,False,False
0.0,2,50,2.8083386,2.8083386,1.4784755,1.4784755,False,True,True,False,False
0.0,2,100,2.2291172,2.2291172,1.4583422,1.4583422,False,True,True,False,False
0.0,2,200,1.8676966,1.8676966,1.5043883,1.5043883,False,False,False,False,False
0.01,2,10,3.747169,2.8364406,2.1910186,2.6144683,False,True,True,True,True
0.01,2,20,2.9356024,2.353187,2.3692234,2.5510182,False,True,True,True,True
0.01,2,30,2.5016818,2.0345237,2.1533802,2.2699554,False,True,True,True,True
0.01,2,50,2.1845226,1.8513235,2.1882362,2.2521122,False,True,False,True,True
0.01,2,100,1.7845485,1.5670655,1.9151698,1.9552174,False,False,False,False,False
0.01,2,200,1.6718873,1.555749,1.6203911,1.6380949,False,False,False,False,False
0.02,2,10,10.677479,4.03368,3.2781532,3.5376308,False,True,True,True,True
0.02,2,20,7.5956626,2.805652,2.5115592,2.6834674,False,True,True,True,True
0.02,2,30,6.42603,2.5277681,2.435367,2.5371723,False,True,True,True,True
0.02,2,50,5.224274,2.15173,1.9463837,2.0179443,False,True,True,False,True
0.02,2,100,3.9200835,1.8556335,1.7032478,1.7478621,False,True,False,False,False
0.02,2,200,2.927823,1.5371476,1.4734685,1.4995053,False,True,False,False,False
0.0,3,10,6.3414297,6.3414297,1.2531998,1.2531998,False,True,True,False,False
0.0,3,20,4.4381413,4.4381413,1.9448135,1.9448135,False,True,True,False,False
0.0,3,30,3.8617685,3.8617685,1.6013454,1.6013454,False,True,True,False,False
0.0,3,50,3.0809877,3.0809877,1.5577385,1.5577385,False,True,True,False,False
0.0,3,100,2.4817147,2.4817147,1.4942673,1.4942673,False,True,True,False,False
0.0,3,200,1.9725448,1.9725448,1.5131184,1.5131184,False,True,True,False,False
0.01,3,10,5.855552,4.0300937,1.8298507,2.2281797,False,True,True,False,True
0.01,3,20,4.291877,3.0901208,1.926876,2.0728533,False,True,True,False,True
0.01,3,30,3.6286843,2.7298281,1.6293287,1.7491312,False,True,True,False,False
0.01,3,50,2.9587667,2.3113477,1.5538346,1.6230108,False,True,True,False,False
0.01,3,100,2.322645,1.9240277,1.6864637,1.7260288,False,True,False,False,False
0.01,3,200,1.9975708,1.7761046,1.5148855,1.5336702,False,True,False,False,False
0.02,3,10,11.593966,3.315517,2.0578952,2.462692,False,True,True,True,True
0.02,3,20,8.33651,2.6178102,1.7111229,1.9499942,False,True,True,False,False
0.02,3,30,7.1904955,2.3911853,1.5998355,1.7905118,False,True,True,False,False
0.02,3,50,5.6376305,1.9767191,1.5219136,1.6370252,False,True,True,False,False
0.02,3,100,4.344902,1.826549,1.5515547,1.6084414,False,True,False,False,False
0.02,3,200,3.3356743,1.6155616,1.4878258,1.5178471,False,True,False,False,False
0.0,4,10,7.132715,7.132715,3.1774254,3.1774254,False,True,True,True,True
0.0,4,20,4.986389,4.986389,2.5218852,2.5218852,False,True,True,True,True
0.0,4,30,4.0861564,4.0861564,2.2350907,2.2350907,False,True,True,True,True
0.0,4,50,3.3094435,3.3094435,2.0361068,2.0361068,False,True,True,True,True
0.0,4,100,2.4805684,2.4805684,1.6109561,1.6109561,False,True,True,False,False
0.0,4,200,2.0615659,2.0615659,1.5173407,1.5173407,False,True,True,False,False
0.01,4,10,4.608916,4.3083925,1.7052358,1.9181944,False,True,True,False,False
0.01,4,20,4.009949,3.7928374,1.7670542,1.6525352,False,True,True,False,False
0.01,4,30,3.5066183,3.3373654,1.8472601,1.6481913,False,True,True,False,False
0.01,4,50,3.0163074,2.8850167,1.7075598,1.6058614,False,True,True,False,False
0.01,4,100,2.292318,2.200039,1.5475864,1.4906396,False,True,True,False,False
0.01,4,200,1.9484713,1.8907396,1.5366772,1.4927797,False,False,False,False,False
0.02,4,10,10.414173,8.576426,1.6673156,3.136402,False,True,True,False,True
0.02,4,20,7.2214537,5.9885807,1.6665927,2.3393679,False,True,True,False,True
0.02,4,30,5.901558,4.924698,1.6021949,2.0834641,False,True,True,False,True
0.02,4,50,4.6098685,3.8729064,1.4539741,1.7679951,False,True,True,False,False
0.02,4,100,3.4197893,2.9097173,1.4271111,1.6073314,False,True,True,False,False
0.02,4,200,2.6186678,2.265643,1.4017599,1.4755131,False,True,True,False,False
0.0,5,10,5.54096,5.54096,2.4943724,2.4943724,False,True,True,True,True
0.0,5,20,4.0532403,4.0532403,2.0622845,2.0622845,False,True,True,True,True
0.0,5,30,3.4919832,3.4919832,1.8331038,1.8331038,False,True,True,False,False
0.0,5,50,3.004387,3.004387,1.5362595,1.5362595,False,True,True,False,False
0.0,5,100,2.286903,2.286903,1.7571855,1.7571855,False,True,True,False,False
0.0,5,200,1.9017096,1.9017096,1.5997363,1.5997363,False,False,False,False,False
0.01,5,10,4.7744637,3.7860947,1.8701593,3.0180147,False,True,True,False,True
0.01,5,20,3.4099455,2.7650895,1.934342,2.4848762,False,True,True,False,True
0.01,5,30,2.8137,2.3022368,1.8137027,2.2244754,False,True,True,False,True
0.01,5,50,2.2874978,1.9341489,1.8896198,2.127478,False,True,False,False,True
0.01,5,100,1.8867689,1.6866971,1.8292452,1.9583765,False,False,False,False,False
0.01,5,200,1.5717163,1.4547547,1.6229806,1.6960276,False,False,False,False,False
0.02,5,10,9.817099,4.582526,3.2673879,2.9869232,False,True,True,True,True
0.02,5,20,6.8841,3.359324,2.3381994,2.1793668,False,True,True,True,True
0.02,5,30,5.550215,2.7145405,2.11646,1.9875003,False,True,True,True,True
0.02,5,50,4.352108,2.235387,1.8817576,1.7836826,False,True,True,False,False
0.02,5,100,3.1973476,1.8295442,1.6257997,1.5590765,False,True,False,False,False
0.02,5,200,2.4419477,1.574355,1.5812174,1.5433679,False,True,False,False,False
0.0,6,10,3.6963112,3.6963112,3.1524093,3.1524093,False,True,True,True,True
0.0,6,20,3.0295293,3.0295293,2.40232,2.40232,False,True,True,True,True
0.0,6,30,2.681809,2.681809,2.114421,2.114421,False,True,True,True,True
0.0,6,50,2.2615156,2.2615156,1.9324799,1.9324799,False,True,True,False,False
0.0,6,100,1.8468899,1.8468899,1.7822065,1.7822065,False,False,False,False,False
0.0,6,200,1.7230512,1.7230512,1.6400223,1.6400223,False,False,False,False,False
0.01,6,10,3.2786722,2.5250096,2.0942101,1.788126,False,True,True,True,False
0.01,6,20,2.4134564,1.9832371,1.6744494,1.5791513,False,True,True,False,False
0.01,6,30,2.2200377,1.8795918,1.6802154,1.5805823,False,True,False,False,False
0.01,6,50,1.9424742,1.726706,1.5555793,1.5099837,False,False,False,False,False
0.01,6,100,1.6163007,1.5016433,1.5495328,1.5218863,False,False,False,False,False
0.01,6,200,1.6283941,1.5726873,1.5272481,1.5123844,False,False,False,False,False
0.02,6,10,10.805082,4.1146283,3.1439118,2.9853008,False,True,True,True,True
0.02,6,20,7.442426,3.0135465,2.4430478,2.3388007,False,True,True,True,True
0.02,6,30,6.1052217,2.6502516,2.235952,2.1686325,False,True,True,True,True
0.02,6,50,4.785647,2.1806047,1.8457146,1.7978352,False,True,True,False,False
0.02,6,100,3.551969,1.8986844,1.763567,1.7416736,False,True,False,False,False
0.02,6,200,2.7341483,1.6913879,1.5486711,1.5318551,False,True,False,False,False
0.0,7,10,4.491155,4.491155,3.4080586,3.4080586,False,True,True,True,True
0.0,7,20,3.4772794,3.4772794,2.6806676,2.6806676,False,True,True,True,True
0.0,7,30,3.0637636,3.0637636,2.330623,2.330623,False,True,True,True,True
0.0,7,50,2.5720763,2.5720763,1.9658749,1.9658749,False,True,True,True,True
0.0,7,100,2.1535702,2.1535702,1.7916222,1.7916222,False,True,True,False,False
0.0,7,200,1.9060359,1.9060359,1.6031693,1.6031693,False,False,False,False,False
0.01,7,10,5.646192,3.9273415,2.0728595,1.4053777,False,True,True,True,False
0.01,7,20,4.0908566,2.9493,1.7252383,1.3809996,False,True,True,False,False
0.01,7,30,3.4948287,2.6285136,1.658884,1.3819015,False,True,True,False,False
0.01,7,50,2.8520553,2.2222693,1.463734,1.3027539,False,True,True,False,False
0.01,7,100,2.3271558,1.9681994,1.4816217,1.3970538,False,True,True,False,False
0.01,7,200,1.9257073,1.7056712,1.4913576,1.4496768,False,False,False,False,False
0.02,7,10,12.211229,5.24174,2.4840913,2.2648194,False,True,True,True,True
0.02,7,20,8.479213,3.6976855,2.1006997,1.9784037,False,True,True,True,True
0.02,7,30,7.052565,3.147414,2.1715205,2.0975533,False,True,True,True,True
0.02,7,50,5.546314,2.5565515,1.8583705,1.8026276,False,True,True,False,False
0.02,7,100,4.143249,2.1478143,1.6407746,1.6090676,False,True,True,False,False
0.02,7,200,3.1270342,1.8121787,1.669589,1.6553907,False,True,False,False,False
0.0,8,10,4.893885,4.893885,2.5440404,2.5440404,False,True,True,True,True
0.0,8,20,3.4772093,3.4772093,2.038874,2.038874,False,True,True,True,True
0.0,8,30,2.991688,2.991688,1.7921416,1.7921416,False,True,True,False,False
