hash	concentration_SR	size_SR
241020_185457_408981_rJwBMr	0.0	0.049414285
241020_185619_658379_YdaewS	0.6651769876480103	0.049674083
241020_185616_800159_JB9Tap	0.08812786638736725	0.04984319
241020_190007_710519_UOXH3u	0.28243881464004517	0.050528836
241020_190000_906979_ItzQD7	0.0	0.049720123
241020_190004_627009_IUdRxy	0.5127518177032471	0.05004347
241020_190232_151348_wFInML	0.0	0.049853254
241020_190356_389560_55P9R8	0.5607443451881409	0.049482007
241020_190358_109876_PnuvE8	0.0011417970526963472	0.050021295
241020_190751_414084_rzqRsS	0.0735846534371376	0.049281128
241020_190801_269848_uOnDj6	0.0	0.04950542
241020_190803_115103_mbm7VT	0.006440123077481985	0.049129415
241020_191042_404838_mnUu5S	0.0	0.050219174
241020_191152_955401_xnsqBq	0.7298371195793152	0.05044227
241020_191217_025911_RmBLen	0.08833731710910797	0.049474712
241020_191517_834362_8tJ56F	0.17618660628795624	0.04968359
241020_191543_698255_1NfK3i	0.0	0.049823444
241020_191547_021327_pVW9iV	0.408404141664505	0.050568867
241020_191837_179685_hfX6dp	0.0	0.050134648
241020_191940_186189_yta1F4	0.7852272987365723	0.050311185
241020_192015_038836_X65nMV	0.5446423888206482	0.04950035
241020_192242_425169_djhi97	0.16309687495231628	0.049595427
241020_192323_376989_iialEc	0.3463275134563446	0.049279787
241020_192323_161620_O7xZZ0	0.0	0.049809426
241020_192645_433515_jafV6k	0.0	0.049699567
241020_192738_203003_5oj5wU	0.46823152899742126	0.0490977
241020_192830_835871_ktk7Ny	0.3823545277118683	0.04951479
241020_193107_693914_DjN4J8	0.2240014374256134	0.049973648
241020_193152_050205_WTRrve	0.41353580355644226	0.049917266
241020_193153_849329_CKLJoG	0.0	0.050103616
241020_193440_857007_9wnm9f	0.0	0.051169608
241020_193530_070619_Ypx7jj	0.3050435185432434	0.0495024
241020_193636_146203_rtnhrF	0.5537539720535278	0.04980439
241020_193929_468577_4suLy7	0.599298357963562	0.04962754
241020_194022_214506_0fkBo8	0.4176484942436218	0.0488697
241020_194035_875438_1rYchA	0.0	0.050183713
241020_194238_513341_asv6Ya	0.0	0.04943133
241020_194317_925995_Jo8Vk3	0.6885207295417786	0.04977215
241020_194432_898137_3f0yEI	0.34931957721710205	0.049446743
241020_194744_703651_qKaWmV	0.5059773921966553	0.04960212
241020_194819_661570_XpSL7G	0.3509126305580139	0.04955642
241020_194837_558762_7DVQ59	0.0	0.04959814
241020_195026_287805_rp2E2A	0.0	0.049229536
241020_195105_000463_evq81U	0.6178076863288879	0.049621254
241020_195236_961381_4nLLKq	0.14296996593475342	0.04961888
241020_195614_273298_8deaU7	0.15645281970500946	0.049334105
241020_195649_425752_6Wd1Wg	0.3335546553134918	0.04939086
241020_195707_060435_Qf1Cal	0.0	0.049995046
241020_195819_290921_FASTeR	0.0	0.04869322
241020_195843_519821_58TGPt	0.13903199136257172	0.05023605
241020_200033_391936_bPBuGe	0.3136598765850067	0.049625054
241020_200443_122855_1JSD4E	0.7494389414787292	0.049177263
241020_200520_448489_pUTMn6	0.1762557029724121	0.050079294
241020_200539_300423_gyOndV	0.0	0.049762227
241020_200622_781178_2pJAMS	0.0	0.04980635
241020_200723_761990_7O3BKA	0.5577883124351501	0.049888857
241020_200840_885999_d6coQn	0.1264038234949112	0.05028723
241020_201310_655821_lVD3BD	0.07263804227113724	0.049649585
241020_201359_932148_GDeICv	0.04161503538489342	0.049873278
241020_201422_754477_PZ8NEa	0.0	0.049892794
241020_202133_138187_Rld5VQ	0.38631221652030945	0.04994593
241020_202226_642743_hmM8Qi	0.627168595790863	0.04985563
241020_202249_705864_dSOc8Z	0.0	0.04961377
241020_202856_256621_OI58b6	0.7381477355957031	0.04995086
241020_202949_724865_dWIEz2	0.12488975375890732	0.04923184
241020_203016_639951_wNGdY8	0.0	0.049681768
