w_signal,w_4b_cut,seed,signal_ratio,n_3b,noise_scale
0.0,0.0,0,0.01,100000,1.0
0.10124684,0.05,0,0.01,100000,1.0
0.18371902,0.1,0,0.01,100000,1.0
0.27818343,0.15000000000000002,0,0.01,100000,1.0
0.3443158,0.2,0,0.01,100000,1.0
0.43963003,0.25,0,0.01,100000,1.0
0.51396173,0.30000000000000004,0,0.01,100000,1.0
0.5830991,0.35000000000000003,0,0.01,100000,1.0
0.6630878,0.4,0,0.01,100000,1.0
0.71482384,0.45,0,0.01,100000,1.0
0.7603616,0.5,0,0.01,100000,1.0
0.8157805,0.55,0,0.01,100000,1.0
0.8527841,0.6000000000000001,0,0.01,100000,1.0
0.89308244,0.65,0,0.01,100000,1.0
0.92590433,0.7000000000000001,0,0.01,100000,1.0
0.9488218,0.75,0,0.01,100000,1.0
0.96548337,0.8,0,0.01,100000,1.0
0.9810817,0.8500000000000001,0,0.01,100000,1.0
0.9926388,0.9,0,0.01,100000,1.0
0.9983241,0.9500000000000001,0,0.01,100000,1.0
1.0,1.0,0,0.01,100000,1.0
0.0,0.0,0,0.01,100000,2.0
0.038905684,0.05,0,0.01,100000,2.0
0.093806975,0.1,0,0.01,100000,2.0
0.1524014,0.15000000000000002,0,0.01,100000,2.0
0.20689853,0.2,0,0.01,100000,2.0
0.27915686,0.25,0,0.01,100000,2.0
0.35714912,0.30000000000000004,0,0.01,100000,2.0
0.42010397,0.35000000000000003,0,0.01,100000,2.0
0.50098133,0.4,0,0.01,100000,2.0
0.5738432,0.45,0,0.01,100000,2.0
0.64966,0.5,0,0.01,100000,2.0
0.7133899,0.55,0,0.01,100000,2.0
0.7801667,0.6000000000000001,0,0.01,100000,2.0
0.8537926,0.65,0,0.01,100000,2.0
0.8998891,0.7000000000000001,0,0.01,100000,2.0
0.9344125,0.75,0,0.01,100000,2.0
0.95706135,0.8,0,0.01,100000,2.0
0.9816976,0.8500000000000001,0,0.01,100000,2.0
0.9910757,0.9,0,0.01,100000,2.0
0.99641794,0.9500000000000001,0,0.01,100000,2.0
1.0,1.0,0,0.01,100000,2.0
0.0,0.0,0,0.01,100000,3.0
0.010862921,0.05,0,0.01,100000,3.0
0.02809045,0.1,0,0.01,100000,3.0
0.051504366,0.15000000000000002,0,0.01,100000,3.0
0.07473149,0.2,0,0.01,100000,3.0
