hash	CR_fvt_mode	model	signal_ratio	mode	nbins	pull	df	region
241025_004109_088425_PWLwsb	best	FvTClassifier	0.02	linspace	1	1.1719822	1	SR
241025_004109_088425_PWLwsb	best	FvTClassifier	0.02	linspace	1	1.3682771	1	CR
241025_004109_088425_PWLwsb	best	FvTClassifier	0.02	linspace	2	1.0231664	2	SR
241025_004109_088425_PWLwsb	best	FvTClassifier	0.02	linspace	2	2.0492742	2	CR
241025_004109_088425_PWLwsb	best	FvTClassifier	0.02	linspace	4	2.2098987	4	SR
241025_004109_088425_PWLwsb	best	FvTClassifier	0.02	linspace	4	1.5290799	4	CR
241025_004109_088425_PWLwsb	best	FvTClassifier	0.02	linspace	8	1.7758576	7	SR
241025_004109_088425_PWLwsb	best	FvTClassifier	0.02	linspace	8	1.1014711	8	CR
241025_004109_088425_PWLwsb	best	FvTClassifier	0.02	linspace	16	1.3396486	13	SR
241025_004109_088425_PWLwsb	best	FvTClassifier	0.02	linspace	16	0.9703742	16	CR
241025_004109_088425_PWLwsb	best	FvTClassifier	0.02	linspace	32	1.2666193	26	SR
241025_004109_088425_PWLwsb	best	FvTClassifier	0.02	linspace	32	0.9561013	32	CR
241025_004109_088425_PWLwsb	best	FvTClassifier	0.02	linspace	64	1.3729385	46	SR
241025_004109_088425_PWLwsb	best	FvTClassifier	0.02	linspace	64	1.0754361	64	CR
241025_004109_088425_PWLwsb	best	FvTClassifier	0.02	linspace	128	1.272729	85	SR
241025_004109_088425_PWLwsb	best	FvTClassifier	0.02	linspace	128	1.0721444	128	CR
241025_004109_088425_PWLwsb	best	FvTClassifier	0.02	quantile	1	1.164733	1	SR
241025_004109_088425_PWLwsb	best	FvTClassifier	0.02	quantile	1	1.3689513	1	CR
241025_004109_088425_PWLwsb	best	FvTClassifier	0.02	quantile	2	2.0795865	2	SR
241025_004109_088425_PWLwsb	best	FvTClassifier	0.02	quantile	2	1.377609	2	CR
241025_004109_088425_PWLwsb	best	FvTClassifier	0.02	quantile	4	1.509004	4	SR
241025_004109_088425_PWLwsb	best	FvTClassifier	0.02	quantile	4	1.2265946	4	CR
241025_004109_088425_PWLwsb	best	FvTClassifier	0.02	quantile	8	1.4349049	8	SR
241025_004109_088425_PWLwsb	best	FvTClassifier	0.02	quantile	8	0.93165636	8	CR
241025_004109_088425_PWLwsb	best	FvTClassifier	0.02	quantile	16	1.2437211	16	SR
241025_004109_088425_PWLwsb	best	FvTClassifier	0.02	quantile	16	0.94150937	16	CR
241025_004109_088425_PWLwsb	best	FvTClassifier	0.02	quantile	32	1.0621893	32	SR
241025_004109_088425_PWLwsb	best	FvTClassifier	0.02	quantile	32	1.0041665	32	CR
241025_004109_088425_PWLwsb	best	FvTClassifier	0.02	quantile	64	1.0750818	64	SR
241025_004109_088425_PWLwsb	best	FvTClassifier	0.02	quantile	64	1.1212574	64	CR
241025_004109_088425_PWLwsb	best	FvTClassifier	0.02	quantile	128	1.1046529	128	SR
241025_004109_088425_PWLwsb	best	FvTClassifier	0.02	quantile	128	1.0454772	128	CR
241025_004109_088425_PWLwsb	last	FvTClassifier	0.02	linspace	1	1.565311	1	SR
241025_004109_088425_PWLwsb	last	FvTClassifier	0.02	linspace	1	9.765462	1	CR
241025_004109_088425_PWLwsb	last	FvTClassifier	0.02	linspace	2	1.2479416	2	SR
241025_004109_088425_PWLwsb	last	FvTClassifier	0.02	linspace	2	8.128157	2	CR
241025_004109_088425_PWLwsb	last	FvTClassifier	0.02	linspace	4	2.230939	4	SR
