hash	model	signal_ratio	mode	nbins	pull	df	region
241030_034709_627800_xHotV2	FvTClassifier	0.0	linspace	1	1.2003706	1	SR
241030_034709_627800_xHotV2	FvTClassifier	0.0	linspace	1	0.32961786	1	CR
241030_034709_627800_xHotV2	FvTClassifier	0.0	linspace	2	1.3709173	2	SR
241030_034709_627800_xHotV2	FvTClassifier	0.0	linspace	2	1.6448408	2	CR
241030_034709_627800_xHotV2	FvTClassifier	0.0	linspace	4	1.2391012	4	SR
241030_034709_627800_xHotV2	FvTClassifier	0.0	linspace	4	1.7237588	4	CR
241030_034709_627800_xHotV2	FvTClassifier	0.0	linspace	8	1.008165	7	SR
241030_034709_627800_xHotV2	FvTClassifier	0.0	linspace	8	1.4525623	8	CR
241030_034709_627800_xHotV2	FvTClassifier	0.0	linspace	16	0.9663381	13	SR
241030_034709_627800_xHotV2	FvTClassifier	0.0	linspace	16	1.1827223	16	CR
241030_034709_627800_xHotV2	FvTClassifier	0.0	linspace	32	1.0381802	23	SR
241030_034709_627800_xHotV2	FvTClassifier	0.0	linspace	32	1.0889105	32	CR
241030_034709_627800_xHotV2	FvTClassifier	0.0	linspace	64	0.9860419	42	SR
241030_034709_627800_xHotV2	FvTClassifier	0.0	linspace	64	1.0556201	64	CR
241030_034709_627800_xHotV2	FvTClassifier	0.0	linspace	128	0.92307454	77	SR
241030_034709_627800_xHotV2	FvTClassifier	0.0	linspace	128	0.98425215	128	CR
241030_034709_627800_xHotV2	FvTClassifier	0.0	quantile	1	1.2003706	1	SR
241030_034709_627800_xHotV2	FvTClassifier	0.0	quantile	1	0.32840803	1	CR
241030_034709_627800_xHotV2	FvTClassifier	0.0	quantile	2	0.87415403	2	SR
241030_034709_627800_xHotV2	FvTClassifier	0.0	quantile	2	1.2318391	2	CR
241030_034709_627800_xHotV2	FvTClassifier	0.0	quantile	4	0.7463301	4	SR
241030_034709_627800_xHotV2	FvTClassifier	0.0	quantile	4	1.3702695	4	CR
241030_034709_627800_xHotV2	FvTClassifier	0.0	quantile	8	0.7934215	8	SR
241030_034709_627800_xHotV2	FvTClassifier	0.0	quantile	8	1.5869339	8	CR
241030_034709_627800_xHotV2	FvTClassifier	0.0	quantile	16	0.7114133	16	SR
241030_034709_627800_xHotV2	FvTClassifier	0.0	quantile	16	1.4471858	16	CR
241030_034709_627800_xHotV2	FvTClassifier	0.0	quantile	32	1.0649977	32	SR
241030_034709_627800_xHotV2	FvTClassifier	0.0	quantile	32	1.1874089	32	CR
241030_034709_627800_xHotV2	FvTClassifier	0.0	quantile	64	1.0220424	64	SR
241030_034709_627800_xHotV2	FvTClassifier	0.0	quantile	64	1.1096638	64	CR
241030_034709_627800_xHotV2	FvTClassifier	0.0	quantile	128	1.0146669	128	SR
241030_034709_627800_xHotV2	FvTClassifier	0.0	quantile	128	1.0018148	128	CR
