w_signal,w_4b_cut,seed,signal_ratio,n_3b,noise_scale
0.014842095,0.05,0,0.05,100000,0.001
0.046410486,0.1,0,0.05,100000,0.001
0.08577842,0.15000000000000002,0,0.05,100000,0.001
0.13202411,0.2,0,0.05,100000,0.001
0.19535428,0.25,0,0.05,100000,0.001
0.24837716,0.3,0,0.05,100000,0.001
0.30266875,0.35000000000000003,0,0.05,100000,0.001
0.37298837,0.4,0,0.05,100000,0.001
0.43044907,0.45,0,0.05,100000,0.001
0.5005527,0.5,0,0.05,100000,0.001
0.57075423,0.55,0,0.05,100000,0.001
0.6184696,0.6000000000000001,0,0.05,100000,0.001
0.6619139,0.6500000000000001,0,0.05,100000,0.001
0.72841233,0.7000000000000001,0,0.05,100000,0.001
0.774982,0.7500000000000001,0,0.05,100000,0.001
0.8207644,0.8,0,0.05,100000,0.001
0.8521129,0.8500000000000001,0,0.05,100000,0.001
0.89630526,0.9000000000000001,0,0.05,100000,0.001
0.9419932,0.9500000000000001,0,0.05,100000,0.001
0.20247917,0.05,0,0.05,100000,1.0
0.28477708,0.1,0,0.05,100000,1.0
0.33290377,0.15000000000000002,0,0.05,100000,1.0
0.38962355,0.2,0,0.05,100000,1.0
0.43128243,0.25,0,0.05,100000,1.0
0.49937376,0.3,0,0.05,100000,1.0
0.56882846,0.35000000000000003,0,0.05,100000,1.0
0.6397334,0.4,0,0.05,100000,1.0
0.71007836,0.45,0,0.05,100000,1.0
0.7791752,0.5,0,0.05,100000,1.0
0.83679914,0.55,0,0.05,100000,1.0
0.8886801,0.6000000000000001,0,0.05,100000,1.0
0.9226266,0.6500000000000001,0,0.05,100000,1.0
0.95139253,0.7000000000000001,0,0.05,100000,1.0
0.96975154,0.7500000000000001,0,0.05,100000,1.0
0.98405963,0.8,0,0.05,100000,1.0
0.9916503,0.8500000000000001,0,0.05,100000,1.0
0.998176,0.9000000000000001,0,0.05,100000,1.0
1.0,0.9500000000000001,0,0.05,100000,1.0
0.019996462,0.05,0,0.05,100000,0.01
0.06813735,0.1,0,0.05,100000,0.01
0.11827482,0.15000000000000002,0,0.05,100000,0.01
0.18941076,0.2,0,0.05,100000,0.01
0.2663375,0.25,0,0.05,100000,0.01
0.33523023,0.3,0,0.05,100000,0.01
0.39534512,0.35000000000000003,0,0.05,100000,0.01
0.4676359,0.4,0,0.05,100000,0.01
0.5311059,0.45,0,0.05,100000,0.01
0.608345,0.5,0,0.05,100000,0.01
0.6630037,0.55,0,0.05,100000,0.01
0.7261985,0.6000000000000001,0,0.05,100000,0.01
0.7904931,0.6500000000000001,0,0.05,100000,0.01
0.8497197,0.7000000000000001,0,0.05,100000,0.01
0.887842,0.7500000000000001,0,0.05,100000,0.01
0.91913956,0.8,0,0.05,100000,0.01
0.9400942,0.8500000000000001,0,0.05,100000,0.01
0.9550673,0.9000000000000001,0,0.05,100000,0.01
0.974717,0.9500000000000001,0,0.05,100000,0.01
0.59111124,0.05,1,0.05,100000,1.0
0.6845647,0.1,1,0.05,100000,1.0
0.72346616,0.15000000000000002,1,0.05,100000,1.0
0.75387245,0.2,1,0.05,100000,1.0
0.77670884,0.25,1,0.05,100000,1.0
0.800779,0.3,1,0.05,100000,1.0
0.82044464,0.35000000000000003,1,0.05,100000,1.0
0.83276546,0.4,1,0.05,100000,1.0
0.85441136,0.45,1,0.05,100000,1.0
0.8716642,0.5,1,0.05,100000,1.0
0.88997287,0.55,1,0.05,100000,1.0
0.90634865,0.6000000000000001,1,0.05,100000,1.0
0.934057,0.6500000000000001,1,0.05,100000,1.0
0.9534568,0.7000000000000001,1,0.05,100000,1.0
0.97055197,0.7500000000000001,1,0.05,100000,1.0
0.9842935,0.8,1,0.05,100000,1.0
0.9912831,0.8500000000000001,1,0.05,100000,1.0
0.99619055,0.9000000000000001,1,0.05,100000,1.0
0.9990554,0.9500000000000001,1,0.05,100000,1.0
0.19720587,0.05,1,0.05,100000,0.001
0.31156135,0.1,1,0.05,100000,0.001
0.3955808,0.15000000000000002,1,0.05,100000,0.001
0.4661268,0.2,1,0.05,100000,0.001
0.5232536,0.25,1,0.05,100000,0.001
0.56148624,0.3,1,0.05,100000,0.001
0.6167395,0.35000000000000003,1,0.05,100000,0.001
0.6566312,0.4,1,0.05,100000,0.001
0.68274266,0.45,1,0.05,100000,0.001
0.71876866,0.5,1,0.05,100000,0.001
0.75046504,0.55,1,0.05,100000,0.001
0.7889131,0.6000000000000001,1,0.05,100000,0.001
0.8223963,0.6500000000000001,1,0.05,100000,0.001
0.85408515,0.7000000000000001,1,0.05,100000,0.001
0.8746228,0.7500000000000001,1,0.05,100000,0.001
0.89249724,0.8,1,0.05,100000,0.001
0.9189122,0.8500000000000001,1,0.05,100000,0.001
0.94296247,0.9000000000000001,1,0.05,100000,0.001
0.97407717,0.9500000000000001,1,0.05,100000,0.001
0.25352153,0.05,1,0.05,100000,0.01
0.38802728,0.1,1,0.05,100000,0.01
0.4652,0.15000000000000002,1,0.05,100000,0.01
