w_signal	w_4b_cut	seed	signal_ratio	noise_scale
0.20468323	0.05	0	0.05	0.1
0.34217656	0.1	0	0.05	0.1
0.4555661	0.15000000000000002	0	0.05	0.1
0.56063116	0.2	0	0.05	0.1
0.6292342	0.25	0	0.05	0.1
0.6855036	0.3	0	0.05	0.1
0.73306113	0.35000000000000003	0	0.05	0.1
0.78002065	0.4	0	0.05	0.1
0.8252903	0.45	0	0.05	0.1
0.84907264	0.5	0	0.05	0.1
0.874586	0.55	0	0.05	0.1
0.8982684	0.6000000000000001	0	0.05	0.1
0.9217278	0.6500000000000001	0	0.05	0.1
0.9392576	0.7000000000000001	0	0.05	0.1
0.9552436	0.7500000000000001	0	0.05	0.1
0.96846384	0.8	0	0.05	0.1
0.9830212	0.8500000000000001	0	0.05	0.1
0.9931396	0.9000000000000001	0	0.05	0.1
0.99999946	0.9500000000000001	0	0.05	0.1
0.6229261	0.05	1	0.05	0.1
0.7589317	0.1	1	0.05	0.1
0.8155902	0.15000000000000002	1	0.05	0.1
0.8476107	0.2	1	0.05	0.1
0.8612012	0.25	1	0.05	0.1
0.88050836	0.3	1	0.05	0.1
0.89844406	0.35000000000000003	1	0.05	0.1
0.9121014	0.4	1	0.05	0.1
0.92842937	0.45	1	0.05	0.1
0.9373766	0.5	1	0.05	0.1
0.9492335	0.55	1	0.05	0.1
0.9611703	0.6000000000000001	1	0.05	0.1
0.9641121	0.6500000000000001	1	0.05	0.1
0.9698686	0.7000000000000001	1	0.05	0.1
0.978547	0.7500000000000001	1	0.05	0.1
0.98160326	0.8	1	0.05	0.1
0.9846149	0.8500000000000001	1	0.05	0.1
0.99308664	0.9000000000000001	1	0.05	0.1
0.99586934	0.9500000000000001	1	0.05	0.1
0.575013	0.05	2	0.05	0.1
0.73190814	0.1	2	0.05	0.1
0.7890701	0.15000000000000002	2	0.05	0.1
0.83322024	0.2	2	0.05	0.1
0.86236453	0.25	2	0.05	0.1
0.87617844	0.3	2	0.05	0.1
0.88705313	0.35000000000000003	2	0.05	0.1
0.9017226	0.4	2	0.05	0.1
0.91531825	0.45	2	0.05	0.1
0.9248886	0.5	2	0.05	0.1
0.93572354	0.55	2	0.05	0.1
0.9452935	0.6000000000000001	2	0.05	0.1
0.9586754	0.6500000000000001	2	0.05	0.1
0.9693205	0.7000000000000001	2	0.05	0.1
0.97573733	0.7500000000000001	2	0.05	0.1
0.9865837	0.8	2	0.05	0.1
0.99047726	0.8500000000000001	2	0.05	0.1
0.99452436	0.9000000000000001	2	0.05	0.1
0.99999976	0.9500000000000001	2	0.05	0.1
0.20920436	0.05	3	0.05	0.1
0.3438687	0.1	3	0.05	0.1
0.44679427	0.15000000000000002	3	0.05	0.1
0.5105766	0.2	3	0.05	0.1
0.55923665	0.25	3	0.05	0.1
0.60268253	0.3	3	0.05	0.1
0.66253346	0.35000000000000003	3	0.05	0.1
0.71469945	0.4	3	0.05	0.1
0.7543478	0.45	3	0.05	0.1
0.7890092	0.5	3	0.05	0.1
0.83422613	0.55	3	0.05	0.1
0.88845515	0.6000000000000001	3	0.05	0.1
0.91230875	0.6500000000000001	3	0.05	0.1
0.9419344	0.7000000000000001	3	0.05	0.1
0.96378994	0.7500000000000001	3	0.05	0.1
0.9756337	0.8	3	0.05	0.1
0.988783	0.8500000000000001	3	0.05	0.1
0.99600315	0.9000000000000001	3	0.05	0.1
0.99881494	0.9500000000000001	3	0.05	0.1
0.12805109	0.05	4	0.05	0.1
0.20277317	0.1	4	0.05	0.1
0.27878898	0.15000000000000002	4	0.05	0.1
0.3377709	0.2	4	0.05	0.1
0.39752188	0.25	4	0.05	0.1
0.46119714	0.3	4	0.05	0.1
0.51974696	0.35000000000000003	4	0.05	0.1
0.5976492	0.4	4	0.05	0.1
0.6503915	0.45	4	0.05	0.1
0.72475374	0.5	4	0.05	0.1
0.7986755	0.55	4	0.05	0.1
0.84601986	0.6000000000000001	4	0.05	0.1
0.89911604	0.6500000000000001	4	0.05	0.1
0.9265178	0.7000000000000001	4	0.05	0.1
0.95545036	0.7500000000000001	4	0.05	0.1
0.9796348	0.8	4	0.05	0.1
0.98794097	0.8500000000000001	4	0.05	0.1
0.9973643	0.9000000000000001	4	0.05	0.1
0.99876213	0.9500000000000001	4	0.05	0.1
0.60813373	0.05	5	0.05	0.1
0.77043396	0.1	5	0.05	0.1
0.8123538	0.15000000000000002	5	0.05	0.1
0.8454631	0.2	5	0.05	0.1
0.8699531	0.25	5	0.05	0.1
0.8833082	0.3	5	0.05	0.1
0.8996045	0.35000000000000003	5	0.05	0.1
0.9102464	0.4	5	0.05	0.1
0.9206329	0.45	5	0.05	0.1
0.9340492	0.5	5	0.05	0.1
0.9447562	0.55	5	0.05	0.1
0.94780177	0.6000000000000001	5	0.05	0.1
0.95509547	0.6500000000000001	5	0.05	0.1
0.95945984	0.7000000000000001	5	0.05	0.1
0.9697947	0.7500000000000001	5	0.05	0.1
0.981345	0.8	5	0.05	0.1
0.9974571	0.8500000000000001	5	0.05	0.1
0.9988894	0.9000000000000001	5	0.05	0.1
0.9988894	0.9500000000000001	5	0.05	0.1
0.09446922	0.05	6	0.05	0.1
0.22652686	0.1	6	0.05	0.1
0.32292286	0.15000000000000002	6	0.05	0.1
0.39630663	0.2	6	0.05	0.1
0.47312316	0.25	6	0.05	0.1
0.5364598	0.3	6	0.05	0.1
0.60084444	0.35000000000000003	6	0.05	0.1
0.6853342	0.4	6	0.05	0.1
0.750452	0.45	6	0.05	0.1
0.80330867	0.5	6	0.05	0.1
0.840313	0.55	6	0.05	0.1
0.88710785	0.6000000000000001	6	0.05	0.1
0.9238506	0.6500000000000001	6	0.05	0.1
0.9543358	0.7000000000000001	6	0.05	0.1
0.9792635	0.7500000000000001	6	0.05	0.1
0.9903483	0.8	6	0.05	0.1
0.9973637	0.8500000000000001	6	0.05	0.1
0.9987076	0.9000000000000001	6	0.05	0.1
1.0	0.9500000000000001	6	0.05	0.1
0.24141099	0.05	7	0.05	0.1
0.32347625	0.1	7	0.05	0.1
0.39618072	0.15000000000000002	7	0.05	0.1
0.4515982	0.2	7	0.05	0.1
0.51869357	0.25	7	0.05	0.1
0.5736412	0.3	7	0.05	0.1
0.6317556	0.35000000000000003	7	0.05	0.1
0.6748002	0.4	7	0.05	0.1
0.7249461	0.45	7	0.05	0.1
0.77291775	0.5	7	0.05	0.1
0.81182027	0.55	7	0.05	0.1
0.8480469	0.6000000000000001	7	0.05	0.1
0.8818657	0.6500000000000001	7	0.05	0.1
0.90867925	0.7000000000000001	7	0.05	0.1
0.9337473	0.7500000000000001	7	0.05	0.1
0.96474624	0.8	7	0.05	0.1
0.9818777	0.8500000000000001	7	0.05	0.1
0.99589634	0.9000000000000001	7	0.05	0.1
0.9987279	0.9500000000000001	7	0.05	0.1
0.6064134	0.05	8	0.05	0.1
0.7408592	0.1	8	0.05	0.1
0.78724134	0.15000000000000002	8	0.05	0.1
0.8176217	0.2	8	0.05	0.1
0.85541177	0.25	8	0.05	0.1
0.87213737	0.3	8	0.05	0.1
0.8871298	0.35000000000000003	8	0.05	0.1
0.89917415	0.4	8	0.05	0.1
0.91131276	0.45	8	0.05	0.1
0.9218123	0.5	8	0.05	0.1
0.9321769	0.55	8	0.05	0.1
0.94995993	0.6000000000000001	8	0.05	0.1
0.9619163	0.6500000000000001	8	0.05	0.1
0.97240597	0.7000000000000001	8	0.05	0.1
0.989898	0.7500000000000001	8	0.05	0.1
0.99571216	0.8	8	0.05	0.1
0.9984552	0.8500000000000001	8	0.05	0.1
0.99999964	0.9000000000000001	8	0.05	0.1
0.99999964	0.9500000000000001	8	0.05	0.1
0.016681412	0.05	9	0.05	0.1
0.052630227	0.1	9	0.05	0.1
0.10580269	0.15000000000000002	9	0.05	0.1
