w_signal	w_4b_cut	seed	signal_ratio	noise_scale
0.039662622	0.05	0	0.03	0.1
0.076497585	0.1	0	0.03	0.1
0.13360001	0.15000000000000002	0	0.03	0.1
0.20315287	0.2	0	0.03	0.1
0.28864628	0.25	0	0.03	0.1
0.3707228	0.3	0	0.03	0.1
0.43212393	0.35000000000000003	0	0.03	0.1
0.49530154	0.4	0	0.03	0.1
0.54074687	0.45	0	0.03	0.1
0.6392184	0.5	0	0.03	0.1
0.69699734	0.55	0	0.03	0.1
0.75944287	0.6000000000000001	0	0.03	0.1
0.8221361	0.6500000000000001	0	0.03	0.1
0.88104177	0.7000000000000001	0	0.03	0.1
0.92306805	0.7500000000000001	0	0.03	0.1
0.9553656	0.8	0	0.03	0.1
0.9767977	0.8500000000000001	0	0.03	0.1
0.9910209	0.9000000000000001	0	0.03	0.1
1.0000001	0.9500000000000001	0	0.03	0.1
0.08818851	0.05	1	0.03	0.1
0.15324046	0.1	1	0.03	0.1
0.22624277	0.15000000000000002	1	0.03	0.1
0.3043362	0.2	1	0.03	0.1
0.37276208	0.25	1	0.03	0.1
0.42491665	0.3	1	0.03	0.1
0.48164976	0.35000000000000003	1	0.03	0.1
0.5573823	0.4	1	0.03	0.1
0.64538276	0.45	1	0.03	0.1
0.7072411	0.5	1	0.03	0.1
0.7611145	0.55	1	0.03	0.1
0.8042197	0.6000000000000001	1	0.03	0.1
0.84753	0.6500000000000001	1	0.03	0.1
0.8706237	0.7000000000000001	1	0.03	0.1
0.91580826	0.7500000000000001	1	0.03	0.1
0.93830615	0.8	1	0.03	0.1
0.9680389	0.8500000000000001	1	0.03	0.1
0.99021167	0.9000000000000001	1	0.03	0.1
0.99760616	0.9500000000000001	1	0.03	0.1
0.034193896	0.05	2	0.03	0.1
0.10048057	0.1	2	0.03	0.1
0.17819771	0.15000000000000002	2	0.03	0.1
0.2799375	0.2	2	0.03	0.1
0.36683905	0.25	2	0.03	0.1
0.40306753	0.3	2	0.03	0.1
0.46123993	0.35000000000000003	2	0.03	0.1
0.5381606	0.4	2	0.03	0.1
0.5979919	0.45	2	0.03	0.1
0.64205825	0.5	2	0.03	0.1
0.7153082	0.55	2	0.03	0.1
0.7840244	0.6000000000000001	2	0.03	0.1
0.8237743	0.6500000000000001	2	0.03	0.1
0.86160874	0.7000000000000001	2	0.03	0.1
0.9056436	0.7500000000000001	2	0.03	0.1
0.94745827	0.8	2	0.03	0.1
0.97313297	0.8500000000000001	2	0.03	0.1
0.98633236	0.9000000000000001	2	0.03	0.1
1.0000004	0.9500000000000001	2	0.03	0.1
0.12302622	0.05	3	0.03	0.1
0.2092407	0.1	3	0.03	0.1
0.28965908	0.15000000000000002	3	0.03	0.1
0.3673482	0.2	3	0.03	0.1
0.4147201	0.25	3	0.03	0.1
0.49294615	0.3	3	0.03	0.1
0.5609674	0.35000000000000003	3	0.03	0.1
0.6025974	0.4	3	0.03	0.1
0.65196896	0.45	3	0.03	0.1
0.70051944	0.5	3	0.03	0.1
0.73647714	0.55	3	0.03	0.1
0.7795835	0.6000000000000001	3	0.03	0.1
0.815272	0.6500000000000001	3	0.03	0.1
0.85783666	0.7000000000000001	3	0.03	0.1
0.9052067	0.7500000000000001	3	0.03	0.1
0.94505405	0.8	3	0.03	0.1
0.96736443	0.8500000000000001	3	0.03	0.1
0.9878663	0.9000000000000001	3	0.03	0.1
0.99999976	0.9500000000000001	3	0.03	0.1
0.026813813	0.05	4	0.03	0.1
0.048857324	0.1	4	0.03	0.1
0.06393206	0.15000000000000002	4	0.03	0.1
0.10027453	0.2	4	0.03	0.1
0.14224681	0.25	4	0.03	0.1
0.23052359	0.3	4	0.03	0.1
0.2833492	0.35000000000000003	4	0.03	0.1
0.37982145	0.4	4	0.03	0.1
0.47695026	0.45	4	0.03	0.1
0.5579401	0.5	4	0.03	0.1
0.64895046	0.55	4	0.03	0.1
0.75116897	0.6000000000000001	4	0.03	0.1
0.8389642	0.6500000000000001	4	0.03	0.1
0.88167095	0.7000000000000001	4	0.03	0.1
0.9307063	0.7500000000000001	4	0.03	0.1
0.95749396	0.8	4	0.03	0.1
0.9847747	0.8500000000000001	4	0.03	0.1
0.99346447	0.9000000000000001	4	0.03	0.1
0.9999998	0.9500000000000001	4	0.03	0.1
0.12429793	0.05	5	0.03	0.1
0.23581772	0.1	5	0.03	0.1
0.31418997	0.15000000000000002	5	0.03	0.1
0.3926131	0.2	5	0.03	0.1
0.4735472	0.25	5	0.03	0.1
0.5456855	0.3	5	0.03	0.1
0.6006545	0.35000000000000003	5	0.03	0.1
0.6627393	0.4	5	0.03	0.1
0.74144465	0.45	5	0.03	0.1
0.790534	0.5	5	0.03	0.1
0.82532126	0.55	5	0.03	0.1
0.8616118	0.6000000000000001	5	0.03	0.1
0.9038028	0.6500000000000001	5	0.03	0.1
0.94236594	0.7000000000000001	5	0.03	0.1
0.9610264	0.7500000000000001	5	0.03	0.1
0.98208696	0.8	5	0.03	0.1
0.9888573	0.8500000000000001	5	0.03	0.1
0.9954821	0.9000000000000001	5	0.03	0.1
0.9999999	0.9500000000000001	5	0.03	0.1
0.0022013895	0.05	6	0.03	0.1
0.0022013895	0.1	6	0.03	0.1
0.0022013895	0.15000000000000002	6	0.03	0.1
0.014450027	0.2	6	0.03	0.1
0.051890932	0.25	6	0.03	0.1
0.12261367	0.3	6	0.03	0.1
0.2181986	0.35000000000000003	6	0.03	0.1
0.335101	0.4	6	0.03	0.1
0.47491845	0.45	6	0.03	0.1
0.60671675	0.5	6	0.03	0.1
0.7004064	0.55	6	0.03	0.1
0.777314	0.6000000000000001	6	0.03	0.1
0.8576308	0.6500000000000001	6	0.03	0.1
0.9440851	0.7000000000000001	6	0.03	0.1
0.96453166	0.7500000000000001	6	0.03	0.1
0.98244727	0.8	6	0.03	0.1
0.9936721	0.8500000000000001	6	0.03	0.1
0.9999991	0.9000000000000001	6	0.03	0.1
0.9999991	0.9500000000000001	6	0.03	0.1
0.022572646	0.05	7	0.03	0.1
0.08598668	0.1	7	0.03	0.1
0.14790252	0.15000000000000002	7	0.03	0.1
0.21277368	0.2	7	0.03	0.1
0.28084388	0.25	7	0.03	0.1
0.34696382	0.3	7	0.03	0.1
0.40649533	0.35000000000000003	7	0.03	0.1
0.46504512	0.4	7	0.03	0.1
0.52314746	0.45	7	0.03	0.1
0.5869209	0.5	7	0.03	0.1
0.65454376	0.55	7	0.03	0.1
0.71353924	0.6000000000000001	7	0.03	0.1
0.77279854	0.6500000000000001	7	0.03	0.1
0.8244322	0.7000000000000001	7	0.03	0.1
0.8825893	0.7500000000000001	7	0.03	0.1
0.92427546	0.8	7	0.03	0.1
0.95905477	0.8500000000000001	7	0.03	0.1
0.984504	0.9000000000000001	7	0.03	0.1
0.9982855	0.9500000000000001	7	0.03	0.1
0.113120936	0.05	8	0.03	0.1
0.20928493	0.1	8	0.03	0.1
0.33188325	0.15000000000000002	8	0.03	0.1
0.42793632	0.2	8	0.03	0.1
0.5020117	0.25	8	0.03	0.1
0.55021936	0.3	8	0.03	0.1
0.6177606	0.35000000000000003	8	0.03	0.1
0.6635603	0.4	8	0.03	0.1
0.71175253	0.45	8	0.03	0.1
0.77735996	0.5	8	0.03	0.1
0.81791794	0.55	8	0.03	0.1
0.8538337	0.6000000000000001	8	0.03	0.1
0.8867141	0.6500000000000001	8	0.03	0.1
0.9117756	0.7000000000000001	8	0.03	0.1
0.9363853	0.7500000000000001	8	0.03	0.1
0.95822036	0.8	8	0.03	0.1
0.9755423	0.8500000000000001	8	0.03	0.1
0.9853949	0.9000000000000001	8	0.03	0.1
0.9975976	0.9500000000000001	8	0.03	0.1
0.011128726	0.05	9	0.03	0.1
0.027696518	0.1	9	0.03	0.1
0.056179278	0.15000000000000002	9	0.03	0.1
0.11024724	0.2	9	0.03	0.1
0.16333291	0.25	9	0.03	0.1
0.2417916	0.3	9	0.03	0.1
0.3307477	0.35000000000000003	9	0.03	0.1
0.44533697	0.4	9	0.03	0.1
0.5356178	0.45	9	0.03	0.1
0.6160193	0.5	9	0.03	0.1
0.6970088	0.55	9	0.03	0.1
0.7536461	0.6000000000000001	9	0.03	0.1
0.8230127	0.6500000000000001	9	0.03	0.1
0.8681263	0.7000000000000001	9	0.03	0.1
0.93508065	0.7500000000000001	9	0.03	0.1
0.9744647	0.8	9	0.03	0.1
0.9874093	0.8500000000000001	9	0.03	0.1
0.99502563	0.9000000000000001	9	0.03	0.1
0.99747205	0.9500000000000001	9	0.03	0.1
0.04949111	0.05	0	0.03	0.05
0.09896958	0.1	0	0.03	0.05
0.16567206	0.15000000000000002	0	0.03	0.05
0.20539293	0.2	0	0.03	0.05
0.27069068	0.25	0	0.03	0.05
0.3340782	0.3	0	0.03	0.05
0.40046507	0.35000000000000003	0	0.03	0.05
0.47221693	0.4	0	0.03	0.05
0.51695687	0.45	0	0.03	0.05
0.5951954	0.5	0	0.03	0.05
0.6521958	0.55	0	0.03	0.05
0.7043167	0.6000000000000001	0	0.03	0.05
0.75849223	0.6500000000000001	0	0.03	0.05
0.8199007	0.7000000000000001	0	0.03	0.05
0.8585736	0.7500000000000001	0	0.03	0.05
0.91877997	0.8	0	0.03	0.05
0.95324093	0.8500000000000001	0	0.03	0.05
0.9737625	0.9000000000000001	0	0.03	0.05
0.9906864	0.9500000000000001	0	0.03	0.05
0.029893931	0.05	0	0.03	0.1
0.059721183	0.1	0	0.03	0.1
0.10155764	0.15000000000000002	0	0.03	0.1
0.14752574	0.2	0	0.03	0.1
0.20950833	0.25	0	0.03	0.1
0.27111447	0.3	0	0.03	0.1
0.37347436	0.35000000000000003	0	0.03	0.1
0.443769	0.4	0	0.03	0.1
0.49879062	0.45	0	0.03	0.1
0.58160764	0.5	0	0.03	0.1
0.66131896	0.55	0	0.03	0.1
0.7265322	0.6000000000000001	0	0.03	0.1
0.80244917	0.6500000000000001	0	0.03	0.1
0.87350446	0.7000000000000001	0	0.03	0.1
0.90801114	0.7500000000000001	0	0.03	0.1
0.961913	0.8	0	0.03	0.1
